,UR888,fb888,CF888,PF888,ag888,jd888,pp888,y888,rr888,sc888,a888,nr888,T888,FG888,al888,bu888,pg888,b888,lu888,TS888,PK888,CJ888,CY888,eb888,AP888,jm888,v888,SF888,cu888,eg888,hc888,j888,c888,l888,cs888,IF888,OI888,au888,m888,SM888,ZC888,RM888,p888,zn888,pb888,fu888,TA888,ss888,MA888,IH888,sp888,ru888,SA888,IC888,sn888,rb888,ni888,bc888,SR888,lh888,i888,TF888
2021-03-24 20:59:00,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,
2021-03-24 21:00:00,,,43.0,84.0,69.0,,106.0,77.0,27.0,88.0,93.0,57.0,,50.0,66.0,27.0,87.0,66.0,73.0,,,,55.0,103.0,,46.0,31.0,,69.0,92.0,78.0,76.0,44.0,46.0,85.0,,104.0,84.0,57.0,,75.0,55.0,65.0,52.0,54.0,49.0,40.0,62.0,51.0,,66.0,36.0,39.0,,110.0,78.0,92.0,63.0,61.0,,64.0,
2021-03-24 21:01:00,,,11.0,57.0,42.0,,85.0,43.0,10.0,65.0,86.0,46.0,,33.0,41.0,13.0,61.0,62.0,47.0,,,,24.0,78.0,,47.0,19.0,,42.0,85.0,58.0,52.0,26.0,25.0,48.0,,89.0,86.0,58.0,,47.0,45.0,48.0,37.0,21.0,44.0,29.0,64.0,17.0,,59.0,16.0,20.0,,98.0,55.0,91.0,50.0,27.0,,46.0,
2021-03-24 21:02:00,,,15.0,44.0,24.0,,86.0,33.0,11.0,49.0,67.0,42.0,,30.0,31.0,14.0,45.0,53.0,33.0,,,,11.0,86.0,,48.0,26.0,,31.0,62.0,58.0,48.0,6.0,20.0,23.0,,83.0,52.0,41.0,,29.0,26.0,47.0,33.0,24.0,22.0,11.0,48.0,13.0,,45.0,28.0,21.0,,89.0,40.0,83.0,36.0,42.0,,43.0,
2021-03-24 21:03:00,,,9.0,40.0,54.0,,62.0,36.0,4.0,43.0,84.0,44.0,,17.0,36.0,9.0,61.0,52.0,39.0,,,,13.0,69.0,,30.0,12.0,,25.0,71.0,55.0,50.0,16.0,18.0,13.0,,87.0,71.0,37.0,,25.0,22.0,44.0,49.0,21.0,12.0,20.0,19.0,16.0,,45.0,21.0,40.0,,77.0,38.0,58.0,37.0,47.0,,25.0,
2021-03-24 21:04:00,,,12.0,44.0,40.0,,70.0,24.0,4.0,52.0,63.0,21.0,,5.0,23.0,3.0,51.0,38.0,37.0,,,,17.0,73.0,,25.0,7.0,,26.0,70.0,43.0,42.0,7.0,4.0,17.0,,72.0,75.0,26.0,,22.0,15.0,24.0,58.0,7.0,27.0,31.0,23.0,9.0,,40.0,5.0,12.0,,67.0,30.0,54.0,40.0,25.0,,22.0,
2021-03-24 21:05:00,,,5.0,56.0,33.0,,54.0,25.0,0.0,51.0,68.0,17.0,,8.0,33.0,10.0,43.0,34.0,29.0,,,,25.0,75.0,,15.0,10.0,,16.0,63.0,36.0,25.0,4.0,8.0,8.0,,70.0,52.0,27.0,,20.0,30.0,18.0,31.0,6.0,15.0,10.0,16.0,4.0,,30.0,3.0,10.0,,88.0,25.0,73.0,34.0,23.0,,8.0,
2021-03-24 21:06:00,,,13.0,38.0,28.0,,50.0,20.0,4.0,44.0,81.0,16.0,,11.0,7.0,7.0,23.0,35.0,52.0,,,,12.0,63.0,,14.0,16.0,,15.0,71.0,48.0,32.0,4.0,5.0,10.0,,66.0,66.0,19.0,,11.0,21.0,17.0,16.0,0.0,24.0,8.0,12.0,3.0,,19.0,11.0,13.0,,44.0,26.0,50.0,21.0,15.0,,12.0,
2021-03-24 21:07:00,,,26.0,39.0,9.0,,69.0,24.0,3.0,29.0,59.0,39.0,,6.0,17.0,2.0,22.0,41.0,33.0,,,,16.0,80.0,,17.0,3.0,,17.0,55.0,28.0,31.0,6.0,10.0,19.0,,57.0,50.0,23.0,,8.0,15.0,23.0,25.0,5.0,21.0,9.0,15.0,8.0,,19.0,15.0,10.0,,86.0,35.0,32.0,30.0,17.0,,11.0,
2021-03-24 21:08:00,,,8.0,27.0,19.0,,71.0,17.0,0.0,37.0,58.0,15.0,,19.0,18.0,4.0,41.0,32.0,29.0,,,,11.0,70.0,,5.0,7.0,,19.0,46.0,26.0,32.0,3.0,9.0,13.0,,62.0,30.0,21.0,,19.0,14.0,20.0,15.0,2.0,18.0,7.0,13.0,10.0,,8.0,8.0,7.0,,81.0,19.0,60.0,22.0,10.0,,9.0,
