,主力合约,收盘价,当日收益率,成交量,十日成交量,当日振幅,十日均振幅,买一量均值,卖一量均值
UR888,UR105,1979.0,0.508,120982,1562314.0,0.015,0.024,93.804,97.857
fb888,fb2105,1341.0,-0.74,9968,181326.0,0.023,0.035,7.518,6.766
CF888,CF105,14890.0,-0.201,403870,2877735.0,0.026,0.019,98.746,100.53
PF888,PF105,7018,-1.956,186811,2419968.0,0.03,0.031,29.666,31.574
ag888,ag2106,5213.0,-0.458,650970,8584035.0,0.015,0.024,76.852,75.737
jd888,jd2105,4395.0,-0.204,147673,2778995.0,0.01,0.025,29.856,34.474
pp888,pp2105,8914.0,-0.246,631531,6339791.0,0.027,0.021,23.353,22.944
y888,y2105,9228.0,-0.432,540960,7444463.0,0.015,0.025,74.614,74.837
rr888,rr2105,3586.0,0.0,18083,147596.0,0.004,0.011,54.778,50.922
sc888,sc2105,383.2,1.349,226464,1721379.0,0.037,0.033,15.284,15.823
a888,a2105,5802.0,-1.259,156104,1654234.0,0.019,0.024,20.084,18.447
nr888,nr2105,11305.0,-2.121,15028,274830.0,0.031,0.034,6.127,6.078
T888,T2106,97.57,0.051,44048,540399.0,0.001,0.002,39.436,44.165
FG888,FG105,2051.0,0.098,635235,8445276.0,0.018,0.029,225.056,213.99
al888,al2105,17060.0,-0.088,260925,3303884.0,0.016,0.026,66.471,64.753
bu888,bu2106,2794.0,-1.062,478059,5299945.0,0.024,0.031,329.332,322.272
pg888,pg2105,3867,2.736,74076,588211.0,0.033,0.03,13.012,13.957
b888,b2105,4186.0,0.577,66191,670699.0,0.013,0.022,34.144,35.174
lu888,lu2106,3088,1.646,55575,551350.0,0.019,0.032,17.201,13.578
TS888,TS2106,100.215,0.02,6174,76577.0,0.0,0.001,49.437,47.102
PK888,PK110,10642,0.929,9441,105947.0,0.014,0.013,5.767,7.917
CJ888,CJ105,9915.0,-0.552,14046,179389.0,0.02,0.02,13.441,27.979
CY888,CY105,21715.0,-1.34,6175,39480.0,0.032,0.018,5.787,6.704
eb888,eb2105,8172.0,-0.061,234461,2604999.0,0.024,0.041,13.546,13.684
AP888,AP110,6067.0,-3.129,332445,3006607.0,0.044,0.028,22.36,23.184
jm888,jm2105,1549.0,0.617,146967,1829768.0,0.028,0.035,26.15,24.948
v888,v2105,8695.0,0.987,533473,6476011.0,0.03,0.031,238.241,256.3
SF888,SF105,7036.0,1.559,217040,2595506.0,0.029,0.037,35.044,33.058
cu888,cu2105,65560.0,-1.384,191090,1763496.0,0.023,0.018,19.791,20.355
eg888,eg2105,5031.0,-1.661,487651,5424684.0,0.034,0.036,27.088,27.536
hc888,hc2105,5130.0,-0.601,847007,8196133.0,0.02,0.024,78.807,70.92
j888,j2105,2175.5,1.564,241424,2526763.0,0.033,0.038,20.861,21.457
c888,c2105,2709.0,0.0,398488,4730307.0,0.009,0.013,454.96,524.74
l888,l2105,8585.0,0.0,419995,5009041.0,0.025,0.022,289.437,278.327
cs888,cs2105,3219.0,-1.318,174082,1628839.0,0.018,0.017,138.447,97.779
IF888,IF2104,4916.6,-0.016,102740,995264.0,0.014,0.019,2.977,2.996
OI888,OI105,10734.0,-0.306,259164,3385936.0,0.011,0.021,12.211,13.709
au888,au2106,367.22,0.268,105658,1363681.0,0.008,0.012,6.973,7.778
m888,m2105,3305.0,0.517,728712,9702775.0,0.014,0.018,280.455,275.229
SM888,SM105,6942.0,1.58,181917,1970037.0,0.025,0.028,29.943,33.301
ZC888,ZC105,695.8,0.52,372716,5423465.0,0.011,0.028,83.195,78.661
RM888,RM105,2890.0,1.19,931020,10174731.0,0.017,0.023,222.528,228.77
p888,p2105,8016.0,-0.373,481154,6639983.0,0.012,0.026,74.423,71.804
zn888,zn2105,21415.0,-1.017,195949,1734113.0,0.015,0.023,34.538,34.846
pb888,pb2105,14900.0,-2.231,73099,576842.0,0.028,0.02,33.027,23.698
fu888,fu2105,2347.0,0.686,1158334,12342943.0,0.022,0.034,293.029,291.654
TA888,TA105,4308.0,-0.508,940266,13775181.0,0.023,0.028,408.229,399.874
ss888,ss2105,14280.0,0.316,88722,963471.0,0.013,0.017,29.604,30.654
MA888,MA105,2342.0,-0.594,1093973,11521265.0,0.023,0.024,338.301,343.675
IH888,IH2104,3455.8,-0.179,34812,354573.0,0.012,0.019,2.102,2.072
sp888,sp2105,7052.0,-1.755,482881,6459679.0,0.024,0.026,83.462,75.379
ru888,ru2105,14125.0,-1.534,313296,4991725.0,0.022,0.025,93.654,90.843
SA888,SA105,1887,-1.719,492124,7993267.0,0.025,0.032,190.309,175.761
IC888,IC2104,6155.6,0.362,68446,636748.0,0.016,0.017,2.775,2.493
sn888,sn2105,171370.0,-1.125,69340,865498.0,0.017,0.023,3.023,3.044
rb888,rb2105,4795.0,-0.436,1886984,23482655.0,0.014,0.026,175.473,176.3
ni888,ni2106,119900.0,-0.761,713106,8326980.0,0.019,0.024,24.158,23.891
bc888,bc2105,58160,-1.474,16007,127966.0,0.024,0.018,4.171,3.744
SR888,SR105,5337.0,0.357,141154,2466347.0,0.008,0.011,53.548,66.23
lh888,lh2109,27520,-1.714,3065,28905.0,0.017,0.016,3.293,2.665
i888,i2105,1067.5,1.377,264329,3482823.0,0.023,0.042,64.327,63.017
TF888,TF2106,99.63,0.035,15826,187854.0,0.001,0.001,27.771,30.526
