交易所,品种,时间,s1,s2,s3,s4
SSE,股票,19900101-21000101,9:25-11:30,13:00-15:00,,
CFFEX,IF,20100416-20151231,9:14-11:30,13:00-15:15,,
CFFEX,IF,20160101-21000101,9:29-11:30,13:00-15:00,,
CFFEX,IC,20160101-21000101,9:29-11:30,13:00-15:00,,
CFFEX,IH,20160101-21000101,9:29-11:30,13:00-15:00,,
CFFEX,IC,20150416-20151231,9:14-11:30,13:00-15:15,,
CFFEX,IH,20150416-20151231,9:14-11:30,13:00-15:15,,
CFFEX,T,20150320-21000101,9:14-11:30,13:00-15:15,,
CFFEX,TF,20130906-21000101,9:14-11:30,13:00-15:15,,
CFFEX,TS,20180817-21000101,9:14-11:30,13:00-15:15,,
SHFE,al,19920528-20131220,8:59-10:15,10:30-11:30,13:30-15:00,
SHFE,cu,19930326-20131220,8:59-10:15,10:30-11:30,13:30-15:00,
SHFE,zn,20070326-20131220,8:59-10:15,10:30-11:30,13:30-15:00,
SHFE,pb,20110324-20131220,8:59-10:15,10:30-11:30,13:30-15:00,
SHFE,al,20131223-21000101,20:59-1:00,8:59-10:15,10:30-11:30,13:30-15:00
SHFE,cu,20131223-21000101,20:59-1:00,8:59-10:15,10:30-11:30,13:30-15:00
SHFE,zn,20131223-21000101,20:59-1:00,8:59-10:15,10:30-11:30,13:30-15:00
SHFE,pb,20131223-21000101,20:59-1:00,8:59-10:15,10:30-11:30,13:30-15:00
SHFE,ni,20150327-21000101,20:59-1:00,8:59-10:15,10:30-11:30,13:30-15:00
SHFE,sn,20150327-21000101,20:59-1:00,8:59-10:15,10:30-11:30,13:30-15:00
SHFE,au,20080109-20130705,8:59-10:15,10:30-11:30,13:30-15:00,
SHFE,ag,20120510-20130705,8:59-10:15,10:30-11:30,13:30-15:00,
SHFE,au,20130708-21000101,20:59-2:30,8:59-10:15,10:30-11:30,13:30-15:00
SHFE,ag,20130708-21000101,20:59-2:30,8:59-10:15,10:30-11:30,13:30-15:00
SHFE,rb,20090327-20141226,8:59-10:15,10:30-11:30,13:30-15:00,
SHFE,hc,20140321-20141226,8:59-10:15,10:30-11:30,13:30-15:00,
SHFE,bu,20131009-20141226,8:59-10:15,10:30-11:30,13:30-15:00,
SHFE,ru,19970422-20141226,8:59-10:15,10:30-11:30,13:30-15:00,
INE,sc,20180326-21000101,20:59-2:30,8:59-10:15,10:30-11:30,13:30-15:00
SHFE,rb,20141229-20160502,20:59-1:00,8:59-10:15,10:30-11:30,13:30-15:00
SHFE,hc,20141229-20160502,20:59-1:00,8:59-10:15,10:30-11:30,13:30-15:00
SHFE,bu,20141229-20160502,20:59-1:00,8:59-10:15,10:30-11:30,13:30-15:00
SHFE,rb,20160503-21000101,20:59-23:00,8:59-10:15,10:30-11:30,13:30-15:00
SHFE,hc,20160503-21000101,20:59-23:00,8:59-10:15,10:30-11:30,13:30-15:00
SHFE,bu,20160503-21000101,20:59-23:00,8:59-10:15,10:30-11:30,13:30-15:00
SHFE,ru,20141229-21000101,20:59-23:00,8:59-10:15,10:30-11:30,13:30-15:00
SHFE,wr,20090327-21000101,8:59-10:15,10:30-11:30,13:30-15:00,
SHFE,fu,20040825-20180629,8:59-10:15,10:30-11:30,13:30-15:00,
SHFE,fu,20180716-21000101,20:59-23:00,8:59-10:15,10:30-11:30,13:30-15:00
SHFE,sp,20181127-21000101,20:59-23:00,8:59-10:15,10:30-11:30,13:30-15:00
INE,nr,20190812-21000101,20:59-23:00,8:59-10:15,10:30-11:30,13:30-15:00
INE,lu,20200622-21000101,20:59-2:30,8:59-10:15,10:30-11:30,13:30-15:00
SHFE,ss,20190925-21000101,20:59-1:00,8:59-10:15,10:30-11:30,13:30-15:00
DCE,p,20071029-20140704,8:59-10:15,10:30-11:30,13:30-15:00,
DCE,a,20020315-20141226,8:59-10:15,10:30-11:30,13:30-15:00,
